tick,pos_deg,vel_degs,acc_degs2,pwm
192000,2.9,0.5,2.9,9.0
192010,3.3,0.5,3.1,10.0
192020,3.7,0.6,3.5,10.0
192030,4.2,0.7,3.8,10.0
192040,4.6,0.7,4.0,11.0
192050,5.1,0.8,4.3,11.0
192060,5.7,0.9,4.6,12.0
192070,6.3,0.9,4.9,12.0
192080,6.9,1.0,5.1,13.0
192090,7.6,1.1,5.3,14.0
192100,8.3,1.2,5.6,14.0
192110,9.0,1.2,5.8,15.0
192120,9.7,1.3,5.9,16.0
192130,10.6,1.4,6.2,16.0
192140,11.4,1.4,6.3,15.0
192150,12.3,1.5,6.6,15.0
192160,13.2,1.6,6.7,15.0
192170,14.2,1.7,6.9,17.0
192180,15.2,1.8,7.0,17.0
192190,16.2,1.8,7.1,17.0
192200,17.2,1.9,7.2,19.0
192210,18.4,2.0,7.4,18.0
192220,19.6,2.1,7.6,19.0
192230,20.7,2.1,7.7,21.0
192240,22.0,2.2,7.9,20.0
192250,23.3,2.3,7.9,21.0
192260,24.6,2.4,8.1,23.0
192270,26.1,2.5,8.3,22.0
192280,27.5,2.6,8.4,22.0
192290,29.0,2.7,8.6,24.0
192300,30.6,2.7,8.7,23.0
192310,32.2,2.8,8.9,22.0
192320,33.8,2.9,9.0,21.0
192330,35.5,3.0,9.0,22.0
192340,37.1,3.1,8.8,22.0
192350,38.9,3.1,8.8,22.0
192360,40.6,3.2,8.7,22.0
192370,42.3,3.2,8.6,23.0
192380,44.0,3.3,8.3,23.0
192390,45.8,3.3,8.0,23.0
192400,47.6,3.3,7.8,23.0
192410,49.4,3.4,7.6,23.0
192420,51.2,3.4,7.3,24.0
192430,53.0,3.4,7.0,24.0
192440,54.9,3.5,6.7,24.0
192450,56.8,3.5,6.5,24.0
192460,58.6,3.5,6.0,24.0
192470,60.5,3.5,5.8,24.0
192480,62.4,3.5,5.5,23.0
192490,64.2,3.5,5.1,23.0
192500,66.1,3.5,4.8,26.0
192510,68.1,3.5,4.5,25.0
192520,70.0,3.6,4.3,25.0
192530,72.0,3.6,4.1,24.0
192540,74.0,3.6,4.0,24.0
192550,76.0,3.6,3.8,23.0
192560,78.0,3.6,3.5,23.0
192570,79.9,3.6,3.2,22.0
192580,81.9,3.6,3.0,22.0
192590,83.8,3.6,2.6,21.0
192600,85.8,3.6,2.3,21.0
192610,87.8,3.6,2.0,20.0
192620,89.6,3.5,1.5,20.0
192630,91.5,3.5,1.2,20.0
192640,93.4,3.5,0.7,19.0
192650,95.2,3.4,0.3,19.0
192660,97.0,3.4,-0.2,19.0
192670,98.8,3.3,-0.6,18.0
192680,100.7,3.3,-0.8,18.0
192690,102.4,3.2,-1.4,18.0
192700,104.1,3.2,-1.8,17.0
192710,105.8,3.1,-2.2,17.0
192720,107.4,3.1,-2.6,17.0
192730,109.0,3.0,-3.1,17.0
192740,110.6,2.9,-3.5,16.0
192750,112.1,2.8,-4.0,16.0
192760,113.6,2.7,-4.5,16.0
192770,115.1,2.7,-4.8,16.0
192780,116.5,2.6,-5.2,16.0
192790,118.0,2.5,-5.3,15.0
192800,119.4,2.5,-5.6,15.0
192810,120.7,2.4,-6.0,15.0
192820,121.9,2.3,-6.3,15.0
192830,123.2,2.2,-6.7,15.0
192840,124.4,2.1,-6.9,15.0
192850,125.5,2.0,-7.2,15.0
192860,126.7,2.0,-7.5,14.0
192870,127.8,1.9,-7.6,14.0
192880,128.8,1.8,-7.8,14.0
192890,129.9,1.7,-7.9,14.0
192900,130.9,1.7,-8.0,14.0
192910,132.0,1.6,-7.9,14.0
192920,132.9,1.6,-7.9,14.0
192930,133.9,1.5,-7.9,14.0
192940,134.9,1.5,-7.8,13.0
192950,135.9,1.5,-7.5,13.0
192960,136.8,1.4,-7.3,13.0
192970,137.8,1.4,-7.1,13.0
192980,138.8,1.4,-6.7,13.0
192990,139.7,1.4,-6.6,12.0
193000,140.6,1.4,-6.4,12.0
193010,141.5,1.3,-6.1,12.0
193020,142.4,1.3,-5.9,12.0
193030,143.3,1.3,-5.6,12.0
193040,144.1,1.3,-5.5,12.0
193050,144.9,1.3,-5.3,12.0
193060,145.8,1.3,-5.0,11.0
193070,146.6,1.2,-4.9,11.0
193080,147.4,1.2,-4.6,11.0
193090,148.2,1.2,-4.5,11.0
193100,148.9,1.2,-4.4,11.0
193110,149.7,1.2,-4.2,11.0
193120,150.5,1.2,-4.1,10.0
193130,151.2,1.1,-4.0,10.0
193140,151.9,1.1,-3.9,10.0
193150,152.6,1.1,-3.7,10.0
193160,153.3,1.1,-3.6,10.0
193170,153.9,1.1,-3.5,10.0
193180,154.6,1.1,-3.4,10.0
193190,155.3,1.0,-3.3,10.0
193200,155.9,1.0,-3.3,10.0
193210,156.5,1.0,-3.1,9.0
193220,157.1,1.0,-3.0,9.0
193230,157.7,1.0,-3.0,9.0
193240,158.2,0.9,-3.1,9.0
193250,158.8,0.9,-3.1,9.0
193260,159.3,0.9,-3.0,9.0
193270,159.8,0.8,-3.1,9.0
193280,160.3,0.8,-3.0,9.0
193290,160.8,0.8,-2.9,9.0
193300,161.3,0.8,-2.9,9.0
193310,161.8,0.8,-2.8,9.0
193320,162.2,0.8,-2.7,9.0
193330,162.7,0.7,-2.6,9.0
193340,163.2,0.7,-2.5,8.0
193350,163.6,0.7,-2.6,8.0
193360,164.0,0.7,-2.5,8.0
193370,164.4,0.7,-2.4,8.0
193380,164.8,0.6,-2.5,8.0
193390,165.1,0.6,-2.4,8.0
193400,165.5,0.6,-2.3,8.0
193410,165.9,0.6,-2.2,8.0
193420,166.3,0.6,-2.0,8.0
193430,166.7,0.6,-1.9,8.0
193440,167.1,0.6,-1.8,8.0
193450,167.4,0.6,-1.8,8.0
193460,167.8,0.6,-1.7,8.0
193470,168.2,0.6,-1.5,8.0
193480,168.5,0.6,-1.5,8.0
193490,168.8,0.6,-1.4,8.0
193500,169.2,0.5,-1.3,7.0
193510,169.5,0.5,-1.2,7.0
193520,169.8,0.5,-1.2,7.0
193530,170.2,0.5,-1.2,7.0
193540,170.5,0.5,-1.1,7.0
