tick,pos_deg,vel_degs,acc_degs2,pwm
746000,4.6,0.0,0.0,-2.0
746010,4.6,0.0,0.0,-2.0
746020,4.6,0.0,0.0,-2.0
746030,4.6,0.0,0.0,-2.0
746040,4.6,0.0,0.0,-2.0
746050,4.6,0.0,0.0,-2.0
746060,4.6,0.0,0.0,-2.0
746070,4.6,0.0,0.0,-2.0
746080,4.6,0.0,0.0,-2.0
746090,4.6,0.0,0.0,-2.0
746100,4.6,0.0,0.0,-2.0
746110,4.6,0.0,0.0,-2.0
746120,4.6,0.0,0.0,-2.0
746130,4.6,0.0,0.0,-2.0
746140,4.6,0.0,0.0,-2.0
746150,4.6,0.0,0.0,-2.0
746160,4.6,0.0,0.0,-2.0
746170,4.6,0.0,0.0,-2.0
746180,4.6,0.0,0.0,-2.0
746190,4.6,0.0,0.0,-2.0
746200,4.6,0.0,0.0,-2.0
746210,4.6,0.0,0.0,-2.0
746220,4.6,0.0,0.0,-2.0
746230,4.6,0.0,0.0,-2.0
746240,4.6,0.0,0.0,-2.0
746250,4.6,0.0,0.0,-2.0
746260,4.6,0.0,0.0,-2.0
746270,4.6,0.0,0.0,-2.0
746280,4.6,0.0,0.0,-2.0
746290,4.6,0.0,0.0,-2.0
746300,4.6,0.0,0.0,-2.0
746310,4.6,0.0,0.0,-2.0
746320,4.6,0.0,0.0,-2.0
746330,4.6,0.0,0.0,-2.0
746340,4.6,0.0,0.0,-2.0
746350,4.6,0.0,0.0,-2.0
746360,4.6,0.0,0.0,-2.0
746370,4.6,0.0,0.0,-2.0
746380,4.6,0.0,0.0,-2.0
746390,4.6,0.0,0.0,-2.0
746400,4.6,0.0,0.0,-2.0
746410,4.6,0.0,0.0,-2.0
746420,4.6,0.0,0.0,-2.0
746430,4.6,0.0,0.0,-2.0
746440,4.6,0.0,0.0,-2.0
746450,4.6,0.0,0.0,-2.0
746460,4.6,0.0,0.0,-2.0
746470,4.6,0.0,0.0,-2.0
746480,4.6,0.0,0.0,-2.0
746490,4.6,0.0,0.0,-2.0
746500,4.6,0.0,0.0,-2.0
746510,4.6,0.0,0.0,-2.0
746520,4.6,0.0,0.0,-2.0
746530,4.6,0.0,0.0,-2.0
746540,4.6,0.0,0.0,-2.0
746550,4.6,0.0,0.0,-2.0
746560,4.6,0.0,0.0,-2.0
746570,4.6,0.0,0.0,-2.0
746580,4.6,0.0,0.0,-2.0
746590,4.6,0.0,0.0,-2.0
746600,4.6,0.0,0.0,-2.0
746610,4.6,0.0,0.0,-2.0
746620,4.6,0.0,0.0,-2.0
746630,4.6,0.0,0.0,-2.0
746640,4.6,0.0,0.0,-2.0
746650,4.6,0.0,0.0,-2.0
746660,4.6,0.0,0.0,-2.0
746670,4.6,0.0,0.0,-2.0
746680,4.6,0.0,0.0,-2.0
746690,4.6,0.0,0.0,-2.0
746700,4.6,0.0,0.0,-2.0
746710,4.6,0.0,0.0,-2.0
746720,4.6,0.0,0.0,-2.0
746730,4.6,0.0,0.0,-2.0
746740,4.6,0.0,0.0,-2.0
746750,4.6,0.0,0.0,-2.0
746760,4.6,0.0,0.0,-2.0
746770,4.6,0.0,0.0,-2.0
746780,4.6,0.0,0.0,-2.0
746790,4.6,0.0,0.0,-2.0
746800,4.6,0.0,0.0,-2.0
746810,4.6,0.0,0.0,-2.0
746820,4.6,0.0,0.0,-2.0
746830,4.6,0.0,0.0,-2.0
746840,4.6,0.0,0.0,-2.0
746850,4.6,0.0,0.0,-2.0
746860,4.6,0.0,0.0,-3.0
746870,4.6,0.0,0.0,-3.0
746880,4.6,0.0,0.0,-3.0
746890,4.6,0.0,0.0,-3.0
746900,4.6,0.0,0.0,-3.0
746910,4.5,0.0,0.0,-3.0
746920,4.5,0.0,0.0,-3.0
746930,4.5,0.0,0.0,-3.0
746940,4.5,0.0,0.0,-3.0
746950,4.4,0.0,0.0,-3.0
746960,4.4,0.0,0.0,-3.0
746970,4.4,0.0,0.0,-3.0
746980,4.3,0.0,0.0,-3.0
746990,4.3,0.0,0.0,-3.0
747000,4.2,0.0,0.0,-3.0
747010,4.2,0.0,0.0,-3.0
747020,4.2,0.0,0.0,-3.0
747030,4.1,0.0,0.0,-3.0
747040,4.1,0.0,0.0,-3.0
747050,4.0,0.0,0.0,-3.0
747060,4.0,0.0,0.0,-3.0
747070,4.0,0.0,0.0,-3.0
747080,4.0,0.0,0.0,-3.0
747090,3.9,0.0,0.0,-3.0
747100,3.9,0.0,0.0,-3.0
747120,3.8,0.0,0.0,-3.0
747130,3.8,0.0,0.0,-3.0
747140,3.8,0.0,0.0,-3.0
747150,3.7,0.0,0.0,-3.0
747160,3.7,0.0,0.0,-3.0
747170,3.7,0.0,0.0,-3.0
747180,3.6,0.0,0.0,-3.0
747190,3.6,0.0,0.0,-3.0
747200,3.6,0.0,0.0,-3.0
747210,3.6,0.0,0.0,-3.0
747220,3.6,0.0,0.0,-3.0
747230,3.6,0.0,0.0,-3.0
747240,3.6,0.0,0.0,-3.0
747250,3.5,0.0,0.0,-3.0
747260,3.5,0.0,0.0,-3.0
747270,3.5,0.0,0.0,-3.0
747280,3.5,0.0,0.0,-3.0
747290,3.4,0.0,0.0,-3.0
747300,3.4,0.0,0.0,-3.0
747310,3.4,0.0,0.0,-3.0
747320,3.3,0.0,0.0,-3.0
747330,3.3,0.0,0.0,-3.0
747340,3.3,0.0,0.0,-3.0
747350,3.3,0.0,0.0,-3.0
747360,3.3,0.0,0.0,-3.0
747370,3.2,0.0,0.0,-3.0
747380,3.2,0.0,0.0,-3.0
747390,3.2,0.0,0.0,-3.0
747400,3.1,0.0,0.0,-3.0
747410,3.1,0.0,0.0,-3.0
747420,3.1,0.0,0.0,-3.0
747430,3.0,0.0,0.0,-3.0
747440,3.0,0.0,0.0,-3.0
747450,2.9,0.0,0.0,-3.0
747460,2.9,0.0,0.0,-3.0
747470,2.9,0.0,0.0,-3.0
747480,2.9,0.0,0.0,-3.0
747490,2.9,0.0,0.0,-3.0
747500,2.8,0.0,0.0,-3.0
747510,2.8,0.0,0.0,-3.0
747520,2.8,0.0,0.0,-3.0
747530,2.8,0.0,0.0,-3.0
747540,2.8,0.0,0.0,-3.0
747550,2.8,0.0,0.0,-3.0
747560,2.7,0.0,0.0,-3.0
747570,2.7,0.0,0.0,-3.0
747580,2.7,0.0,0.0,-3.0
747590,2.7,0.0,0.0,-3.0
747600,2.7,0.0,0.0,-3.0
747610,2.7,0.0,0.0,-3.0
747620,2.7,0.0,0.0,-3.0
747630,2.7,0.0,0.0,-3.0
747640,2.7,0.0,0.0,-3.0
747650,2.7,0.0,0.0,-3.0
747660,2.7,0.0,0.0,-3.0
747670,2.7,0.0,0.0,-3.0
747680,2.7,0.0,0.0,-3.0
747690,2.7,0.0,0.0,-3.0
747700,2.7,0.0,0.0,-3.0
747710,2.7,0.0,0.0,-3.0
747720,2.7,0.0,0.0,-3.0
747730,2.7,0.0,0.0,-3.0
747740,2.7,0.0,0.0,-3.0
747750,2.7,0.0,0.0,-3.0
747760,2.7,0.0,0.0,-3.0
747770,2.7,0.0,0.0,-3.0
747780,2.7,0.0,0.0,-3.0
747790,2.7,0.0,0.0,-3.0
747800,2.7,0.0,0.0,-3.0
747810,2.6,0.0,0.0,-3.0
747820,2.6,0.0,0.0,-3.0
747830,2.6,0.0,0.0,-3.0
747840,2.6,0.0,0.0,-3.0
747850,2.6,0.0,0.0,-3.0
747860,2.6,0.0,0.0,-3.0
747870,2.6,0.0,0.0,-3.0
747880,2.6,0.0,0.0,-3.0
747890,2.6,0.0,0.0,-3.0
747900,2.5,0.0,0.0,-3.0
747910,2.5,0.0,0.0,-3.0
747920,2.5,0.0,0.0,-3.0
747930,2.5,0.0,0.0,-3.0
747940,2.5,0.0,0.0,-3.0
747950,2.5,0.0,0.0,-3.0
747960,2.5,0.0,0.0,-3.0
747970,2.5,0.0,0.0,-3.0
747980,2.5,0.0,0.0,-3.0
747990,2.5,0.0,0.0,-3.0
748000,2.5,0.0,0.0,-3.0
748010,2.5,0.0,0.0,-3.0
748020,2.5,0.0,0.0,-3.0
748030,2.5,0.0,0.0,-3.0
748040,2.5,0.0,0.0,-3.0
748050,2.5,0.0,0.0,-3.0
748060,2.5,0.0,0.0,-3.0
748070,2.5,0.0,0.0,-3.0
748080,2.5,0.0,0.0,-3.0
748090,2.5,0.0,0.0,-3.0
748100,2.5,0.0,0.0,-3.0
748110,2.5,0.0,0.0,-3.0
748120,2.5,0.0,0.0,-3.0
748130,2.5,0.0,0.0,-3.0
748140,2.5,0.0,0.0,-3.0
748150,2.5,0.0,0.0,-3.0
748160,2.5,0.0,0.0,-3.0
748170,2.5,0.0,0.0,-3.0
748180,2.5,0.0,0.0,-3.0
748190,2.5,0.0,0.0,-3.0
748200,2.5,0.0,0.0,-3.0
748210,2.5,0.0,0.0,-3.0
748220,2.5,0.0,0.0,-3.0
748230,2.5,0.0,0.0,-3.0
748240,2.5,0.0,0.0,-3.0
748250,2.5,0.0,0.0,-3.0
748260,2.5,0.0,0.0,-3.0
748270,2.5,0.0,0.0,-3.0
748280,2.5,0.0,0.0,-3.0
748290,2.5,0.0,0.0,-3.0
748300,2.5,0.0,0.0,-3.0
748310,2.5,0.0,0.0,-3.0
748320,2.5,0.0,0.0,-3.0
748330,2.5,0.0,0.0,-4.0
748350,2.5,0.0,0.0,-4.0
748360,2.5,0.0,0.0,-4.0
748370,2.5,0.0,0.0,-3.0
748380,2.5,0.0,0.0,-4.0
748390,2.5,0.0,0.0,-3.0
748400,2.4,0.0,0.0,-4.0
748410,2.4,0.0,0.0,-3.0
748420,2.4,0.0,0.0,-4.0
748430,2.4,0.0,0.0,-4.0
748440,2.3,0.0,0.0,-4.0
748450,2.3,0.0,0.0,-4.0
748460,2.3,0.0,0.0,-4.0
748470,2.3,0.0,0.0,-4.0
748480,2.3,0.0,0.0,-4.0
748490,2.2,0.0,0.0,-4.0
748500,2.2,0.0,0.0,-4.0
748510,2.2,0.0,0.0,-4.0
748520,2.1,0.0,0.0,-4.0
748530,2.1,0.0,0.0,-4.0
748540,2.1,0.0,0.0,-4.0
748550,2.0,0.0,0.0,-4.0
748560,2.0,0.0,0.0,-4.0
748570,1.9,0.0,0.0,-4.0
748580,1.9,0.0,0.0,-4.0
748590,1.9,0.0,0.0,-4.0
748600,1.8,0.0,0.0,-4.0
748610,1.8,0.0,0.0,-4.0
748620,1.7,0.0,0.0,-3.0
748630,1.7,0.0,0.0,-4.0
748640,1.6,0.0,0.0,-4.0
748650,1.5,0.0,0.0,-4.0
748660,1.5,0.0,0.0,-3.0
748670,1.5,0.0,0.0,-4.0
748680,1.4,0.0,0.0,-4.0
748690,1.4,0.0,0.0,-4.0
748700,1.3,0.0,0.0,-4.0
748710,1.2,0.0,0.0,-3.0
748720,1.2,0.0,0.0,-4.0
748730,1.1,0.0,0.0,-4.0
748740,1.1,0.0,0.0,-3.0
748750,1.0,0.0,0.0,-4.0
748760,0.9,0.0,0.0,-4.0
748770,0.9,0.0,0.0,-1.0
748780,0.8,0.0,0.0,-1.0
748790,0.8,0.0,0.0,-1.0
748800,0.7,0.0,0.0,-1.0
748810,0.7,0.0,0.0,-1.0
748820,0.7,0.0,0.0,-1.0
748830,0.7,0.0,0.0,-1.0
748840,0.7,0.0,0.0,-1.0
748850,0.7,0.0,0.0,-1.0
748860,0.7,0.0,0.0,-1.0
748870,0.8,0.0,0.0,-1.0
748880,0.8,0.0,0.0,-1.0
748890,0.8,0.0,0.0,-1.0
748900,0.8,0.0,0.0,-1.0
748910,0.8,0.0,0.0,-1.0
748920,0.8,0.0,0.0,-1.0
748930,0.8,0.0,0.0,-1.0
748940,0.8,0.0,0.0,-1.0
748950,0.8,0.0,0.0,-1.0
748960,0.8,0.0,0.0,-1.0
748970,0.8,0.0,0.0,-1.0
748980,0.8,0.0,0.0,-1.0
748990,0.8,0.0,0.0,-1.0
749000,0.8,0.0,0.0,-1.0
749010,0.8,0.0,0.0,-1.0
749020,0.8,0.0,0.0,-1.0
749030,0.8,0.0,0.0,-1.0
749040,0.8,0.0,0.0,-1.0
749050,0.8,0.0,0.0,-1.0
749060,0.8,0.0,0.0,-1.0
749070,0.8,0.0,0.0,-1.0
749080,0.9,0.0,0.0,-1.0
749090,0.8,0.0,0.0,-1.0
749100,0.8,0.0,0.0,-1.0
749110,0.8,0.0,0.0,-1.0
749120,0.8,0.0,0.0,-1.0
749130,0.8,0.0,0.0,-1.0
749140,0.8,0.0,0.0,-1.0
749150,0.8,0.0,0.0,-1.0
749160,0.8,0.0,0.0,-1.0
